"id","muni","dpto","elev_sd","elev_mean","elev_max","forest","coffee_yield","roads_all","roads_paved","roads_paths","roads_paved_sh","area","dist_guate","dist_panam"
"16-15","Santo Domingo Xenacoj","Sacatepequez",136.59500887391,1916.24407087392,2236.0361328125,0.5,NA,19073.3043560229,1994.73847047305,1920.91479707853,0.104582742100645,27.8773381327535,20.4805156402125,0
"16-16","Sumpango","Sacatepequez",154.749692567808,1866.47261424446,2496.92138671875,0.358595194085028,NA,37726.8502690777,8836.38524448597,12942.8463965576,0.234220062938267,49.9055954725137,24.7028242662673,0
"16-2","Ciudad Vieja","Sacatepequez",411.135740194127,1810.09801844015,3751.00830078125,0.420365535248042,NA,19374.2682397326,13136.6211392247,0,0.678044764151881,35.1745594801982,31.0718907858499,8.58629263451509
"16-3","Jocotenango","Sacatepequez",200.324903401624,1819.28796981509,2477.57885742188,0.732673267326733,NA,3774.47641266472,3363.44460713627,411.03180552845,0.891102298546815,9.60075377747154,24.8053697974835,2.65139660500898
"16-4","Antigua Guatemala","Sacatepequez",296.052336243196,1845.74070038226,3723.15942382812,0.64524765729585,1175,43972.5463306071,28513.3806408092,9426.18474923917,0.648435967897597,68.936447029259,22.6113786983065,1.49329797652716
"16-5","Magdalena Milpas Altas","Sacatepequez",139.144586742118,2070.81721835666,2478.51342773438,0.557692307692308,NA,13710.5200731702,5248.72074632649,5678.84138617514,0.382824336226134,14.450311448634,20.2908810082848,4.75587926918838
"16-6","Pastores","Sacatepequez",157.375728624922,1806.03600774629,2267.96313476562,0.522248243559719,NA,27529.9519563204,5716.56566048117,10091.1629089126,0.207648951569229,39.0382846269524,26.707968395412,0.323160979680762
"16-7","San Antonio Aguas Calientes","Sacatepequez",170.382313224144,1656.69115155857,2110.0791015625,0.366666666666667,NA,3869.08717977507,828.75320119996,671.033619117955,0.214198637221749,5.37723097955868,32.3912693638489,7.84204886164027
"16-8","San Bartolome Milpas Altas","Sacatepequez",97.8597007017734,2205.40786918734,2491.58642578125,0.597826086956522,NA,5662.03547263653,2266.70846856253,3395.327004074,0.400334558043141,8.38372753487319,20.6946334620992,0
"16-9","San Lucas Sacatepequez","Sacatepequez",148.186870859445,2011.88453300089,2299.9580078125,0.627906976744186,NA,24531.8239396283,17317.1786047861,5550.43749655147,0.705906688691509,27.6843607594041,14.1611612610372,0
"17-1","Ayutla","San Marcos",23.894280167166,44.9409248705799,120.491806030273,0.0733695652173913,796.5,89546.6532082121,29054.1746424515,36895.1772864925,0.324458520799156,115.651051678156,171.230645750195,66.4836129801127
"17-10","La Reforma","San Marcos",707.591470672543,1201.89392329293,3022.55615234375,0.887096774193548,1241,44199.9897028154,0,25991.1385510835,0,74.296122473932,143.181373623759,33.6154621385736
"17-11","Malacatan","San Marcos",217.455173736546,355.703763341624,1052.8017578125,0.450554751567776,941,155746.337578786,22652.1107724476,91601.7831031654,0.145442333505844,230.183056351577,168.008454779425,54.8360457153375
"17-12","Nuevo Progreso","San Marcos",702.665198512622,815.137588576608,3263.80126953125,0.755045233124565,1125,110884.677534927,0,63303.7895779454,0,131.991110131753,144.980329045758,34.2667891914189
"17-13","Ocos","San Marcos",5.09883202598362,9.1922864459076,30.6827354431152,0.0326370757180157,707,58227.6871367076,28118.3987129229,20537.7983107861,0.482904269353963,144.162167600836,169.447849766593,74.9249149502443
"17-14","Pajapita","San Marcos",71.2214661556496,103.44186520348,343.600677490234,0.131924198250729,NA,86129.7588065637,25569.9460778121,43736.1101997603,0.296877019419488,125.872020567851,161.120614295947,56.8798421372156
"17-15","Rio Blanco","San Marcos",115.97650084175,2525.97370923567,2774.19702148438,0.0168539325842697,NA,33964.775972209,0,23549.372220818,0,33.1149821231015,134.546589260567,15.1336014459643
"17-16","San Antonio Sacatepequez","San Marcos",205.634617152441,2577.57629463718,2856.376953125,0.312236286919831,0,45342.0683034618,9018.28885599184,25597.1709384553,0.198894518786284,43.8558736443599,133.536811932527,18.1577641334426
"17-17","San Cristobal Cucho","San Marcos",373.852801616153,1980.527064935,2885.78686523438,0.408602150537634,NA,15215.6180607327,0,5378.83995320086,0,25.4986568216011,138.600405692383,28.4077398974608
"17-18","San Jose El Rodeo","San Marcos",144.858402759833,543.060991322456,1021.10748291016,0.844444444444444,NA,53835.1378821806,7975.42597579309,20526.6377793791,0.148145361738415,49.4669733851435,160.422576215216,47.5860677156447
"17-19","San Jose Ojetenam","San Marcos",359.604905660825,2991.07321076732,3678.7431640625,0.409448818897638,0,86806.7017506456,0,69827.022882338,0,81.0331375478307,165.53315829793,27.635183314172
"17-2","Catarina","San Marcos",101.655401135773,233.888600244165,580.284240722656,0.264870931537598,930,82655.741221928,10593.63237455,40933.3125634452,0.12816571744371,81.4593991168684,167.761281164559,56.4677503074775
"17-20","San Lorenzo","San Marcos",120.139667217351,2758.16336255134,3091.79296875,0.197530864197531,NA,49096.7081031427,7482.81905964712,31573.4734584885,0.152409791791482,44.5476979014602,137.697096207239,20.4716056610125
"17-21","San Marcos","San Marcos",495.681279990115,2654.76402100681,9484.9287109375,0.527553269654666,587,87841.4536460315,20357.9421542309,61794.3692155023,0.231757801234322,125.602284355956,142.202842694573,28.669785225376
"17-22","San Miguel Ixtahuacan","San Marcos",347.498747734243,2183.83973574181,2917.29443359375,0.19167429094236,599.5,134868.344467184,0,116750.708356399,0,200.114546111524,140.789089302745,7.59456075118789
"17-23","San Pablo","San Marcos",692.823868330355,1226.52833898756,3960.92431640625,0.844951140065147,1128,84322.1720511165,24495.620882673,42147.1699610481,0.290500354614012,140.850377258214,153.036467999038,36.5673924855116
"17-24","San Pedro Sacatepequez","San Marcos",330.612126348549,2424.02503480098,3433.97631835938,0.409477521263669,1021,85227.2047138157,17027.188339589,47792.8996986353,0.199785835951849,75.3821093617497,136.120071050179,21.4872579705144
"17-25","San Rafael Pie de la Cuesta","San Marcos",216.390730923734,1137.118189389,1793.98669433594,0.90234375,NA,63322.0408146097,20362.0387694047,35739.4308918509,0.32156321096819,46.4298714048517,153.318665139536,40.5822661425082
"17-26","Sibinal","San Marcos",542.94181934591,2456.19559442346,4051.52490234375,0.713455953533398,1216,61710.3543435366,0,57549.1854884844,0,94.6940944230052,172.822674342447,39.7938067459568
"17-27","Sipacapa","San Marcos",267.499090252775,2161.20754434889,2862.2490234375,0.104756170981337,1142.5,102367.768682353,0,75881.3068389289,0,151.835163408809,133.092154344844,2.93661354484064
"17-28","Tacana","San Marcos",485.664110742122,2435.37547897472,3581.90063476562,0.473581847649919,754.75,250823.521755644,0,192975.899297517,0,379.1908378939,168.746174363006,27.7352753659668
"17-29","Tajumulco","San Marcos",671.456558484244,2006.24604451963,4198.2001953125,0.809747292418773,1049.66666666667,129085.192330172,0,118803.515191674,0,253.638559585351,157.13361496412,33.9249403897234
"17-3","Comitancillo","San Marcos",251.201614041039,2538.65115108859,3042.97021484375,0.0559345156889495,392,85597.3987806347,0,57876.4409225542,0,133.577596109149,138.481387227394,14.1163138915811
"17-30","Tejutla","San Marcos",258.519649883183,2733.31977691076,3558.4677734375,0.137672090112641,0,120547.719327889,0,80927.405953257,0,146.13860473584,148.615947935587,22.9835580484834
"17-4","Concepcion Tutuapa","San Marcos",323.514738929372,2575.30238389025,3434.90185546875,0.481037924151697,711.666666666667,173166.612310221,0,167771.84112711,0,230.139196831459,156.723485947166,8.93335604601421
"17-5","El Quetzal","San Marcos",396.439094211984,875.335588724409,2154.06640625,0.849297573435504,1241,64251.3268736673,0,19502.6320645272,0,72.071490093404,140.822731508591,33.9175514592573
"17-6","El Tumbador","San Marcos",484.639336848294,842.370719424113,2822.14111328125,0.902793296089386,1016,143756.451600326,19266.4400524702,65278.9282276019,0.134021394086959,164.657772116131,148.0464153568,37.3455544957906
"17-7","Esquipulas Palo Gordo","San Marcos",382.813527240399,2310.72896286096,3166.22338867188,0.826171875,NA,31714.5117000023,9637.25051661276,22077.2611833896,0.30387510322639,47.6695965272256,146.035653267297,33.2055290727073
"17-8","Ixchiguan","San Marcos",293.211142850149,2892.98820593923,3555.65966796875,0.376315789473684,0,104568.920773873,0,74586.9455700474,0,104.970064728344,154.325536453202,30.4502390901221
"18-1","Barberena","Santa Rosa",159.213022446265,1149.64773430998,1626.50805664062,0.821237993596585,1157,123493.853295052,15874.4966404338,29381.1046830994,0.128544832126231,173.077254805086,27.0538504408236,0
"18-10","San Rafael las Flores","Santa Rosa",223.874953773042,1573.63246167193,2321.03051757812,0.536082474226804,1135.5,29548.3089311719,9697.87122464965,9182.95677265751,0.328203933674827,107.422400431724,31.0669320959879,15.6479636410741
"18-11","Santa Cruz Naranjo","Santa Rosa",158.98607603379,1303.15550174161,1751.66613769531,0.713125845737483,1206,37984.6995652391,13463.2584540325,4034.49431259599,0.354438987490456,68.1997097110001,21.8270779087778,3.40849886702017
"18-12","Santa Maria Ixhuatan","Santa Rosa",245.079782442664,1037.01253419867,1674.99853515625,0.766383495145631,1118.33333333333,71943.158047659,9163.4181001059,62779.7399475531,0.127370251025616,151.622441846021,48.5501428044968,1.40955971443243
"18-13","Santa Rosa de Lima","Santa Rosa",280.262143218824,1348.15756790148,2145.41430664062,0.740378741600489,1112.5,86304.6628437773,7404.67816167377,33944.9769884886,0.0857969652819014,150.58726496918,18.3855286922382,6.3930619721601
"18-14","Taxisco","Santa Rosa",317.837512046431,182.109816629938,1941.85705566406,0.350428877769836,791.666666666667,184903.66339473,50367.6743862827,115719.206515719,0.27239954829212,519.169474390503,50.467175589546,17.5994062008757
"18-2","Casillas","Santa Rosa",232.637061364035,1515.45013247637,2120.1767578125,0.730422401518747,1141,94355.3529114306,7812.44858888583,50178.6202271718,0.0827981492074881,194.064522516758,28.4767966258889,6.16145011220994
"18-3","Chiquimulilla","Santa Rosa",275.429455536666,175.375985590941,1613.47229003906,0.271774569166279,819.25,262810.761429063,44656.2536520143,121850.938218228,0.169917903700712,540.274787053631,50.1310137292562,8.76689666149369
"18-4","Cuilapa","Santa Rosa",229.801448079659,919.969786709712,1873.79736328125,0.652941176470588,1137.33333333333,98360.4894298181,37017.4829176761,36474.3854517666,0.376345045986058,187.711650355049,37.8810169971411,0
"18-5","Guazacapan","Santa Rosa",260.026223006998,223.115090858,1413.03039550781,0.315988647114475,NA,52994.7142678463,19291.7129176434,14688.7605686342,0.364030888441799,98.0480595120714,55.3672985853129,18.2734277819961
"18-6","Nueva Santa Rosa","Santa Rosa",268.956623787534,1247.74245813557,2158.02709960938,0.658608058608059,1168,88168.3121414657,12588.4119874432,29667.9579188888,0.142777055403365,126.511689767619,27.970926990384,3.19965222679802
"18-7","Oratorio","Santa Rosa",240.394379443603,632.364290152532,1469.51721191406,0.42724899121766,1088.2,159614.957948762,27680.8052959772,82033.0178845188,0.173422376271672,389.076636591267,49.9220693349105,0
"18-8","Pueblo Nuevo Vinas","Santa Rosa",312.50088362914,1049.05450638239,1943.87182617188,0.82264449722882,1099.33333333333,127322.381338061,33059.6804462963,36548.4438496273,0.259653331165065,233.751428750147,33.025781483402,0
