"n_mon","n_year","n_rgim","n_type","p_civ","p_arm","p_pac","p_pol","p_par","p_urn","c_tot","id"
6,1982,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,2,"17-3"
12,1982,"Efrain Rios Montt Schaad","tortured",0,1,1,0,0,0,2,"1-13"
12,1982,"Efrain Rios Montt Schaad","killed",0,1,1,0,0,0,2,"1-13"
6,1983,"Efrain Rios Montt Schaad","tortured",0,1,0,0,0,0,1,"17-30"
6,1983,"Efrain Rios Montt Schaad","tortured",0,1,0,0,0,0,3,"17-30"
6,1986,"Vinicio Cerezo Arevalo","tortured",0,1,1,0,0,0,50,"17-30"
6,1984,"Oscar Humberto Mejia Victores","tortured",0,1,0,0,0,0,2,"17-30"
6,1984,"Oscar Humberto Mejia Victores","tortured",0,1,0,0,0,0,2,"17-30"
1,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,1,0,0,2,"7-4"
1,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,1,0,0,2,"7-4"
1,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,1,0,0,2,"7-4"
1,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,1,0,0,2,"7-4"
1,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,1,0,0,1,"7-4"
5,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,2,"7-4"
5,1980,"Fernando Romeo Lucas Garcia","kidnap",0,0,0,0,0,0,4,"7-4"
5,1980,"Fernando Romeo Lucas Garcia","kidnap",0,0,0,0,0,0,5,"7-4"
5,1980,"Fernando Romeo Lucas Garcia","kidnap",0,0,0,0,0,0,4,"7-4"
4,1980,"Fernando Romeo Lucas Garcia","kidnap",0,0,0,0,0,0,15,"14-13"
4,1980,"Fernando Romeo Lucas Garcia","kidnap",0,0,0,0,0,0,3,"14-13"
1,1982,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,2,"7-4"
1,1982,"Fernando Romeo Lucas Garcia","kidnap",0,0,0,0,0,0,2,"7-4"
4,1985,"Oscar Humberto Mejia Victores","killed",0,0,0,0,0,0,1,"7-16"
5,1978,"Kjell Eugenio Laugerud Garcia","killed",0,0,0,0,0,0,2,"1-7"
5,1978,"Kjell Eugenio Laugerud Garcia","killed",0,1,0,0,0,0,2,"1-7"
5,1978,"Kjell Eugenio Laugerud Garcia","killed",0,1,0,0,0,0,2,"1-7"
5,1978,"Kjell Eugenio Laugerud Garcia","killed",0,1,0,0,0,0,2,"1-7"
5,1978,"Kjell Eugenio Laugerud Garcia","killed",0,1,0,0,0,0,2,"1-7"
5,1978,"Kjell Eugenio Laugerud Garcia","killed",0,1,0,0,0,0,2,"1-7"
5,1978,"Kjell Eugenio Laugerud Garcia","killed",0,1,0,0,0,0,2,"1-7"
5,1978,"Kjell Eugenio Laugerud Garcia","killed",0,1,0,0,0,0,2,"1-7"
5,1978,"Kjell Eugenio Laugerud Garcia","killed",0,1,0,0,0,0,2,"1-7"
5,1978,"Kjell Eugenio Laugerud Garcia","killed",0,1,0,0,0,0,2,"1-7"
12,1981,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,1,"14-5"
12,1981,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,15,"14-5"
6,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,1,"7-1"
6,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,1,"7-1"
6,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,1,"7-4"
6,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,1,"7-1"
6,1980,"Fernando Romeo Lucas Garcia","kidnap",0,0,0,0,0,0,27,"6-14"
6,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,2,"7-6"
6,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,1,"7-4"
6,1980,"Fernando Romeo Lucas Garcia","injured",0,0,0,0,0,0,11,"7-4"
6,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,1,"7-4"
6,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,1,"13-6"
7,1980,"Fernando Romeo Lucas Garcia","injured",0,0,0,0,0,0,2,"13-15"
7,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,1,"4-3"
8,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,2,"17-18"
8,1980,"Fernando Romeo Lucas Garcia","kidnap",0,0,0,0,0,0,1,"17-7"
8,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,1,"6-5"
6,1981,"Fernando Romeo Lucas Garcia","killed",0,1,0,1,0,0,2,"3-11"
